drug_class,exposure_definition,estimator,n_treated,n_control,ipw_ate,ipw_se,aipw_ate,aipw_se,ate,se,ci_low,ci_high,p_value,rr,e_value,max_smd_before,max_smd_after_ipw,p_value_fdr,significant_fdr
gout_drug,long_term_use_365d,ipw,479,34200,0.0693,0.009,,,0.0693,0.009,0.0517,0.0869,0.0,1.743,2.88,1.583,0.998,0.0,True
beta_blocker,long_term_use_365d,ipw,3845,30834,0.0545,0.0072,,,0.0545,0.0072,0.0405,0.0685,0.0,1.584,2.55,1.529,0.506,0.0,True
loop_diuretic,long_term_use_365d,ipw,1029,33650,0.0535,0.0071,,,0.0535,0.0071,0.0396,0.0675,0.0,1.574,2.52,2.109,1.244,0.0,True
opioid,long_term_use_365d,ipw,1376,33303,0.0457,0.0085,,,0.0457,0.0085,0.029,0.0625,0.0,1.491,2.35,1.413,0.546,0.0,True
metformin,long_term_use_365d,ipw,2454,32225,0.0365,0.0063,,,0.0365,0.0063,0.0242,0.0488,0.0,1.391,2.13,2.45,0.929,0.0,True
ace_inhibitor,long_term_use_365d,ipw,4060,30619,0.0315,0.0068,,,0.0315,0.0068,0.0183,0.0448,3e-06,1.338,2.01,1.504,0.715,5e-06,True
potassium_sparing,long_term_use_365d,ipw,594,34085,0.0293,0.0086,,,0.0293,0.0086,0.0125,0.0461,0.000617,1.314,1.96,1.191,0.98,0.000823,True
thiazide,long_term_use_365d,ipw,3003,31676,0.0271,0.0069,,,0.0271,0.0069,0.0135,0.0407,9.3e-05,1.29,1.9,1.718,0.779,0.00014,True
ppi,long_term_use_365d,ipw,2602,32077,0.027,0.0071,,,0.027,0.0071,0.0131,0.041,0.000147,1.29,1.9,1.441,0.404,0.000208,True
statin,long_term_use_365d,ipw,5590,29089,0.0172,0.0056,,,0.0172,0.0056,0.0062,0.0283,0.002211,1.185,1.65,1.518,0.654,0.002793,True
antiepileptic,long_term_use_365d,ipw,1261,33418,0.0078,0.007,,,0.0078,0.007,-0.0059,0.0214,0.264017,1.083,1.38,1.497,0.597,0.288019,False
nsaid,long_term_use_365d,ipw,1119,33560,0.0046,0.0074,,,0.0046,0.0074,-0.0099,0.0191,0.534398,1.049,1.28,1.245,0.579,0.534398,False
gout_drug,two_year_use_730d,ipw,435,34244,0.0747,0.0091,,,0.0747,0.0091,0.0567,0.0926,0.0,1.801,3.0,1.591,1.039,0.0,True
beta_blocker,two_year_use_730d,ipw,3446,31233,0.0537,0.0067,,,0.0537,0.0067,0.0406,0.0668,0.0,1.576,2.53,1.51,0.588,0.0,True
loop_diuretic,two_year_use_730d,ipw,901,33778,0.0521,0.0064,,,0.0521,0.0064,0.0395,0.0647,0.0,1.559,2.49,2.112,1.298,0.0,True
opioid,two_year_use_730d,ipw,1097,33582,0.0446,0.0092,,,0.0446,0.0092,0.0266,0.0626,1e-06,1.479,2.32,1.453,0.635,2e-06,True
thiazide,two_year_use_730d,ipw,2678,32001,0.0359,0.0074,,,0.0359,0.0074,0.0214,0.0505,1e-06,1.385,2.12,1.708,0.781,2e-06,True
ace_inhibitor,two_year_use_730d,ipw,3632,31047,0.0346,0.0063,,,0.0346,0.0063,0.0222,0.0471,0.0,1.371,2.09,1.483,0.709,0.0,True
ppi,two_year_use_730d,ipw,2226,32453,0.0338,0.0076,,,0.0338,0.0076,0.019,0.0486,8e-06,1.362,2.06,1.455,0.466,1.3e-05,True
metformin,two_year_use_730d,ipw,2175,32504,0.029,0.0054,,,0.029,0.0054,0.0185,0.0395,0.0,1.311,1.95,2.444,1.042,0.0,True
potassium_sparing,two_year_use_730d,ipw,526,34153,0.0256,0.0086,,,0.0256,0.0086,0.0087,0.0425,0.003029,1.275,1.87,1.253,1.039,0.003635,True
statin,two_year_use_730d,ipw,4887,29792,0.0251,0.0047,,,0.0251,0.0047,0.0159,0.0342,0.0,1.269,1.85,1.489,0.765,0.0,True
antiepileptic,two_year_use_730d,ipw,1070,33609,0.0079,0.007,,,0.0079,0.007,-0.0058,0.0217,0.256877,1.085,1.39,1.508,0.644,0.288019,False
nsaid,two_year_use_730d,ipw,899,33780,0.0058,0.008,,,0.0058,0.008,-0.0099,0.0216,0.467567,1.063,1.32,1.289,0.635,0.487896,False
