drug_class,exposure_definition,estimator,n_treated,n_control,ipw_ate,ipw_se,aipw_ate,aipw_se,ate,se,ci_low,ci_high,p_value,rr,e_value,max_smd_before,max_smd_after_ipw,p_value_fdr,significant_fdr
gout_drug,current_use,aipw,564,34115,0.1018,0.0109,0.0537,0.0054,0.0537,0.0054,0.0431,0.0644,0.0,1.576,2.53,1.574,0.928,0.0,True
beta_blocker,current_use,aipw,4439,30240,0.0581,0.0083,0.0517,0.0061,0.0517,0.0061,0.0398,0.0636,0.0,1.554,2.48,1.553,0.4,0.0,True
opioid,current_use,aipw,2237,32442,0.0387,0.0073,0.0348,0.0053,0.0348,0.0053,0.0244,0.0453,0.0,1.374,2.09,1.205,0.353,0.0,True
potassium_sparing,current_use,aipw,720,33959,0.0192,0.0085,0.0238,0.0044,0.0238,0.0044,0.0153,0.0324,0.0,1.256,1.82,1.196,0.963,0.0,True
thiazide,current_use,aipw,3479,31200,0.0311,0.0072,0.0122,0.0054,0.0122,0.0054,0.0016,0.0228,0.024514,1.131,1.52,1.737,0.777,0.032685,True
metformin,current_use,aipw,2870,31809,0.0398,0.0063,0.0101,0.0047,0.0101,0.0047,0.0009,0.0194,0.031348,1.109,1.46,2.459,0.758,0.037618,True
ppi,current_use,aipw,3265,31414,0.0232,0.0061,0.0088,0.0052,0.0088,0.0052,-0.0013,0.019,0.088915,1.095,1.42,1.401,0.29,0.096998,False
antiepileptic,current_use,aipw,1638,33041,0.014,0.0073,-0.0065,0.0052,-0.0065,0.0052,-0.0166,0.0036,0.20586,0.93,1.36,1.504,0.478,0.20586,False
nsaid,current_use,aipw,1874,32805,-0.007,0.0066,-0.0121,0.0044,-0.0121,0.0044,-0.0208,-0.0034,0.00659,0.87,1.56,1.068,0.407,0.011297,True
ace_inhibitor,current_use,aipw,4694,29985,0.0257,0.0077,-0.0125,0.0055,-0.0125,0.0055,-0.0232,-0.0018,0.022324,0.866,1.58,1.523,0.703,0.032685,True
loop_diuretic,current_use,aipw,1303,33376,0.0431,0.0079,-0.0165,0.0046,-0.0165,0.0046,-0.0255,-0.0076,0.000288,0.823,1.73,2.127,1.132,0.000691,True
statin,current_use,aipw,6695,27984,0.0092,0.0079,-0.0178,0.0057,-0.0178,0.0057,-0.029,-0.0067,0.00169,0.809,1.78,1.573,0.611,0.00338,True
