drug_class,exposure_definition,subgroup_type,subgroup,cate,se
loop_diuretic,current_use,sex,Male,0.0725,0.0122
loop_diuretic,current_use,sex,Female,0.0308,0.0097
loop_diuretic,current_use,age,20-44,-0.0377,0.0024
loop_diuretic,current_use,age,45-64,0.0417,0.0165
loop_diuretic,current_use,age,65+,0.0227,0.0182
loop_diuretic,current_use,diabetes,Diabetic,0.0084,0.0281
loop_diuretic,current_use,diabetes,Non-diabetic,0.035,0.008
thiazide,current_use,sex,Male,0.0369,0.0101
thiazide,current_use,sex,Female,0.0206,0.0097
thiazide,current_use,age,20-44,0.083,0.0105
thiazide,current_use,age,45-64,0.017,0.0128
thiazide,current_use,age,65+,-0.0087,0.0157
thiazide,current_use,diabetes,Diabetic,-0.0153,0.0183
thiazide,current_use,diabetes,Non-diabetic,0.0379,0.0084
ppi,current_use,sex,Male,0.018,0.0084
ppi,current_use,sex,Female,0.0325,0.0087
ppi,current_use,age,20-44,0.03,0.0102
ppi,current_use,age,45-64,0.0213,0.0102
ppi,current_use,age,65+,0.0063,0.0099
ppi,current_use,diabetes,Diabetic,0.0318,0.0165
ppi,current_use,diabetes,Non-diabetic,0.0214,0.0067
antiepileptic,current_use,sex,Male,0.0235,0.011
antiepileptic,current_use,sex,Female,0.0073,0.0097
antiepileptic,current_use,age,20-44,0.0116,0.0096
antiepileptic,current_use,age,45-64,-0.0104,0.0133
antiepileptic,current_use,age,65+,-0.0037,0.0138
antiepileptic,current_use,diabetes,Diabetic,-0.0026,0.0161
antiepileptic,current_use,diabetes,Non-diabetic,0.0206,0.0091
gout_drug,current_use,sex,Male,0.0965,0.0169
gout_drug,current_use,sex,Female,0.1011,0.0133
gout_drug,current_use,age,20-44,0.0376,0.0046
gout_drug,current_use,age,45-64,0.1068,0.0207
gout_drug,current_use,age,65+,0.0547,0.0248
gout_drug,current_use,diabetes,Diabetic,0.083,0.0378
gout_drug,current_use,diabetes,Non-diabetic,0.0852,0.0102
potassium_sparing,current_use,sex,Male,0.0165,0.0101
potassium_sparing,current_use,sex,Female,0.0245,0.0126
potassium_sparing,current_use,age,20-44,0.0302,0.0092
potassium_sparing,current_use,age,45-64,0.0296,0.0156
potassium_sparing,current_use,age,65+,-0.0404,0.016
potassium_sparing,current_use,diabetes,Diabetic,-0.0278,0.0288
potassium_sparing,current_use,diabetes,Non-diabetic,0.0221,0.0089
opioid,current_use,sex,Male,0.03,0.0129
opioid,current_use,sex,Female,0.0525,0.0091
opioid,current_use,age,20-44,0.0541,0.0098
opioid,current_use,age,45-64,0.0402,0.0122
opioid,current_use,age,65+,0.0241,0.0172
opioid,current_use,diabetes,Diabetic,0.0264,0.0214
opioid,current_use,diabetes,Non-diabetic,0.0378,0.0075
nsaid,current_use,sex,Male,0.0015,0.0106
nsaid,current_use,sex,Female,-0.0113,0.0089
nsaid,current_use,age,20-44,-0.0011,0.0071
nsaid,current_use,age,45-64,-0.0171,0.0132
nsaid,current_use,age,65+,-0.0164,0.015
nsaid,current_use,diabetes,Diabetic,-0.0298,0.0192
nsaid,current_use,diabetes,Non-diabetic,-0.0023,0.0075
statin,current_use,sex,Male,0.0002,0.0145
statin,current_use,sex,Female,0.019,0.0072
statin,current_use,age,20-44,0.0562,0.0083
statin,current_use,age,45-64,-0.0049,0.0152
statin,current_use,age,65+,-0.0507,0.0233
statin,current_use,diabetes,Diabetic,-0.0085,0.0258
statin,current_use,diabetes,Non-diabetic,-0.0035,0.0083
ace_inhibitor,current_use,sex,Male,0.0471,0.0132
ace_inhibitor,current_use,sex,Female,0.0125,0.009
ace_inhibitor,current_use,age,20-44,0.0404,0.0093
ace_inhibitor,current_use,age,45-64,0.0054,0.0164
ace_inhibitor,current_use,age,65+,-0.0076,0.0178
ace_inhibitor,current_use,diabetes,Diabetic,-0.0,0.0238
ace_inhibitor,current_use,diabetes,Non-diabetic,0.0245,0.0071
beta_blocker,current_use,sex,Male,0.0684,0.0128
beta_blocker,current_use,sex,Female,0.0497,0.0107
beta_blocker,current_use,age,20-44,0.103,0.0144
beta_blocker,current_use,age,45-64,0.0402,0.0189
beta_blocker,current_use,age,65+,0.021,0.0114
beta_blocker,current_use,diabetes,Diabetic,0.0192,0.0159
beta_blocker,current_use,diabetes,Non-diabetic,0.0679,0.0094
metformin,current_use,sex,Male,0.0627,0.0079
metformin,current_use,sex,Female,0.0379,0.0106
metformin,current_use,age,20-44,0.0434,0.0098
metformin,current_use,age,45-64,0.0426,0.0125
metformin,current_use,age,65+,0.0079,0.0118
metformin,current_use,diabetes,Diabetic,-0.0161,0.0167
metformin,current_use,diabetes,Non-diabetic,0.0377,0.0098
