drug_class,ate,ci_low,ci_high,e_value,significant_fdr,max_smd_before,max_smd_after_ipw,max_variable_smd_before,max_variable_smd_after_ipw
gout_drug,0.0537,0.0431,0.0644,2.53,True,1.574,0.928,1.5735,0.9282
beta_blocker,0.0517,0.0398,0.0636,2.48,True,1.553,0.4,1.5525,0.3997
opioid,0.0348,0.0244,0.0453,2.09,True,1.205,0.353,1.205,0.3527
potassium_sparing,0.0238,0.0153,0.0324,1.82,True,1.196,0.963,1.196,0.9629
thiazide,0.0122,0.0016,0.0228,1.52,True,1.737,0.777,1.7371,0.7767
metformin,0.0101,0.0009,0.0194,1.46,True,2.459,0.758,2.4588,0.7578
ppi,0.0088,-0.0013,0.019,1.42,False,1.401,0.29,1.4012,0.2905
antiepileptic,-0.0065,-0.0166,0.0036,1.36,False,1.504,0.478,1.504,0.4778
nsaid,-0.0121,-0.0208,-0.0034,1.56,True,1.068,0.407,1.0676,0.4073
ace_inhibitor,-0.0125,-0.0232,-0.0018,1.58,True,1.523,0.703,1.5226,0.7026
loop_diuretic,-0.0165,-0.0255,-0.0076,1.73,True,2.127,1.132,2.127,1.1319
statin,-0.0178,-0.029,-0.0067,1.78,True,1.573,0.611,1.5733,0.6113
