drug_class,exposure_definition,feature,outcome_model_importance,propensity_model_abs_coef,combined_rank_score
loop_diuretic,current_use,drug_count_x_age,0.09966667617382574,0.3148326028100177,1.174444648406767
loop_diuretic,current_use,drug_count,0.010353374890481826,1.8047707721930017,1.1038800057144957
loop_diuretic,current_use,RIDAGEYR,0.04113992807836388,0.9613335963124808,0.9454375949437716
loop_diuretic,current_use,BMXBMI,0.05469380566895096,0.5841599968811605,0.8724426814079385
loop_diuretic,current_use,acr,0.08016270174529308,0.014104652176190424,0.8121231717763298
loop_diuretic,current_use,LBXSUA,0.05087474576356016,0.5166706129708188,0.7967293688449899
loop_diuretic,current_use,drug_count_x_bmi,0.06328602265998609,0.25541039900914986,0.7764963339380946
loop_diuretic,current_use,drug_count_x_egfr,0.06059734970300629,0.226273833121934,0.7333754927552918
loop_diuretic,current_use,BMXWAIST,0.07103304155816514,0.019757474711505876,0.7236533942458775
loop_diuretic,current_use,INDFMPIR,0.056987879413082886,0.1294477477324314,0.6435100012915369
loop_diuretic,current_use,egfr,0.04913708723184104,0.19863139732079055,0.6030732786660821
loop_diuretic,current_use,LBXSBU,0.03876582839845237,0.195272797861184,0.4971528791582051
loop_diuretic,current_use,RIDRETH1,0.03937069252138268,0.04348672546296011,0.4191190618029388
loop_diuretic,current_use,LBXSCR,0.037447892811387405,0.058374884157544375,0.4080760938587532
loop_diuretic,current_use,systolic_bp,0.03618372886609507,0.007770180293107124,0.36735276797575633
loop_diuretic,current_use,drug_thiazide,0.003705341752357256,0.5749783325008375,0.355765350490551
loop_diuretic,current_use,diastolic_bp,0.02796918818105029,0.09864191089018806,0.3352834786258751
loop_diuretic,current_use,LBXSPH,0.03215548133854175,0.016751300086239877,0.3319118941671226
loop_diuretic,current_use,LBXSC3SI,0.016478522381999962,0.2832953900608828,0.3223066184041033
loop_diuretic,current_use,LBXSCA,0.02128423172359861,0.12680798760047146,0.28381679989992015
thiazide,current_use,drug_count_x_age,0.08224421712311375,0.9946458732018643,1.634003672108435
thiazide,current_use,drug_count,0.007504475864821384,1.5688329846640823,1.0912462435333017
thiazide,current_use,drug_count_x_bmi,0.07833914925283045,0.15924544949031078,1.0540243068293713
thiazide,current_use,RIDAGEYR,0.05582073103251083,0.5537257333047956,1.0316731299029702
thiazide,current_use,LBXSUA,0.04642240062762355,0.4580042600527154,0.8563852356328789
thiazide,current_use,BMXWAIST,0.06637763387774473,0.05067425205277742,0.8393802522843955
thiazide,current_use,egfr,0.060844508852525916,0.13144791473980103,0.8235899491816359
thiazide,current_use,acr,0.06657962091314729,0.008307500595987219,0.8148309287702382
thiazide,current_use,BPQ020,0.007607234921741972,1.1312683212543937,0.8135847537557968
thiazide,current_use,LBXSCR,0.04954288354244476,0.32370481648549676,0.808722226571992
thiazide,current_use,drug_count_x_egfr,0.05684933681650765,0.1438151604895843,0.7828960998764206
thiazide,current_use,BMXBMI,0.04601931468793176,0.2915387542790281,0.7453762932768265
thiazide,current_use,INDFMPIR,0.05096589602615906,0.05950867419822989,0.6576215314520402
thiazide,current_use,LBXSBU,0.04185124804985338,0.17120175118124387,0.6179923588535918
thiazide,current_use,LBXSC3SI,0.022445211203638515,0.3937990893107681,0.5239233233103309
thiazide,current_use,RIDRETH1,0.041754029943463125,0.02281233651894195,0.5222244342103168
thiazide,current_use,LBXSPH,0.03532316287947966,0.12180729950322104,0.5071331239368777
thiazide,current_use,systolic_bp,0.030545555115665746,0.0495941607156562,0.40301277830632165
thiazide,current_use,diastolic_bp,0.027122251911405125,0.005941172568606018,0.3335640100792838
thiazide,current_use,sex_binary,0.01509304382058187,0.23242534482797403,0.3316667005391897
ppi,current_use,drug_count_x_age,0.0773610660759999,0.5516473510362515,1.253399674996253
ppi,current_use,drug_count,0.010383578187464562,2.1769852350616015,1.1342222737373304
ppi,current_use,drug_count_x_bmi,0.06573741957517389,0.2518075676686415,0.9654161267158795
ppi,current_use,RIDAGEYR,0.04794418886475675,0.6480585260452235,0.9174319399392528
ppi,current_use,BMXWAIST,0.06850659185358816,0.05419179271962284,0.9104365796824776
ppi,current_use,acr,0.06904645346242558,0.03739797317404647,0.9097007910502068
ppi,current_use,drug_count_x_egfr,0.0604305940817218,0.14707187289636817,0.8487075539104104
ppi,current_use,egfr,0.05696930637677121,0.12045212195202178,0.7917377633019645
ppi,current_use,INDFMPIR,0.052261069587918485,0.0021326663377798354,0.6765270748979867
ppi,current_use,BMXBMI,0.04833983193703652,0.08775133404741535,0.6651685998859316
ppi,current_use,LBXSPH,0.04305218708797057,0.02828451127755036,0.5695022581962594
ppi,current_use,LBXSUA,0.04233431894200042,0.03045588061013306,0.5612202285090041
ppi,current_use,LBXSBU,0.03999278763624583,0.0673994001360191,0.547922697584639
ppi,current_use,LBXSCR,0.04162241517161493,0.020129461102090667,0.5472744268969997
ppi,current_use,RIDRETH1,0.037869050297003604,0.0997567865616164,0.5353338142514694
ppi,current_use,systolic_bp,0.0339200085840122,0.029259900358632268,0.45190412175586037
ppi,current_use,diastolic_bp,0.029894315383267558,0.059364691376830536,0.4136950666563445
ppi,current_use,LBXSCA,0.030570620382072537,0.0008067514841753181,0.3955386158785852
ppi,current_use,LBXSC3SI,0.0280277827248691,0.02367521321951263,0.37317352911034235
ppi,current_use,sex_binary,0.014862202893986359,0.03479554916763472,0.20809812804642633
antiepileptic,current_use,drug_count_x_age,0.08899377941917236,0.6440694492192405,1.3100687455881974
antiepileptic,current_use,drug_count,0.017657974235830882,2.0771827486109475,1.1984180731628389
antiepileptic,current_use,drug_count_x_bmi,0.070256453711651,0.2127322307060332,0.8918673596022819
antiepileptic,current_use,acr,0.07757058359072369,0.039054437947579686,0.8904421514212689
antiepileptic,current_use,BMXWAIST,0.061445913228912075,0.14170059869145457,0.7586694631024018
antiepileptic,current_use,LBXSCR,0.05686663499742355,0.1139427321282913,0.6938500742683328
antiepileptic,current_use,drug_count_x_egfr,0.0509890558474331,0.23324383394986542,0.6852393333805991
antiepileptic,current_use,egfr,0.0508446213163211,0.19788757534006846,0.666595104387394
antiepileptic,current_use,LBXSPH,0.052725704096279705,0.06519627866310305,0.6238519280095861
antiepileptic,current_use,RIDAGEYR,0.042183056267135796,0.2971573541689955,0.6170579311942248
antiepileptic,current_use,INDFMPIR,0.04910607584316704,0.12031007394956646,0.6097120593104594
antiepileptic,current_use,LBXSUA,0.043993904165156555,0.088262120257787,0.5368393458533206
antiepileptic,current_use,BMXBMI,0.041176783536442024,0.0741893870533535,0.4984091791797696
antiepileptic,current_use,RIDRETH1,0.041290783733143196,0.046678277655370255,0.486445736003199
antiepileptic,current_use,diastolic_bp,0.03284097768264041,0.0415463446004509,0.3890268368201573
antiepileptic,current_use,LBXSBU,0.029529077002210326,0.06840587860259767,0.3647426200438942
antiepileptic,current_use,systolic_bp,0.024642964407684834,0.10637999852246724,0.3281201908921696
antiepileptic,current_use,LBXSCA,0.027751294855564438,0.025866734792702094,0.3242868939841422
antiepileptic,current_use,LBXSC3SI,0.023448374958334354,0.03433395395540836,0.2800123995486076
antiepileptic,current_use,drug_beta_blocker,0.008668267602746096,0.17386945046331873,0.18110752837341298
gout_drug,current_use,drug_count_x_age,0.1110367729469475,0.17039398327463584,1.171155639021829
gout_drug,current_use,drug_count,0.008755768716940258,0.9955499231486261,1.0788546756588802
gout_drug,current_use,egfr,0.04665888167858635,0.5609515800558804,0.9836700905654797
gout_drug,current_use,RIDAGEYR,0.04068223202501635,0.6010849764909857,0.9701570232988267
gout_drug,current_use,sex_binary,0.013236136584414047,0.8062073281236979,0.9290160321049956
gout_drug,current_use,BMXBMI,0.05072604806526608,0.38610404494814127,0.8446699963501427
gout_drug,current_use,RIDRETH1,0.05015979586764742,0.3327166440446967,0.7859442737560904
gout_drug,current_use,LBXSUA,0.03844721893546621,0.4103184242649284,0.7584091658787211
gout_drug,current_use,acr,0.06605226778815955,0.03438305547560184,0.6294051495707644
gout_drug,current_use,BMXWAIST,0.056156371115532996,0.08737526707976016,0.5935115376816814
gout_drug,current_use,drug_count_x_bmi,0.055859240318773686,0.08886104347361741,0.5923279879398569
gout_drug,current_use,LBXSCR,0.04059463079915414,0.19843985733789618,0.5649231542571489
gout_drug,current_use,INDFMPIR,0.04374381200652732,0.15814941546226713,0.552814221387143
gout_drug,current_use,drug_count_x_egfr,0.060658788343499886,0.006424853921866419,0.5527481627405334
gout_drug,current_use,LBXSBU,0.03967389012587688,0.15917728466810757,0.5171928652110129
gout_drug,current_use,LBXSPH,0.050451218332316715,0.0004661491670348225,0.45483318773947196
gout_drug,current_use,diastolic_bp,0.030442825706063166,0.11236735465706518,0.3870384954425657
gout_drug,current_use,LBXSCA,0.026085078404908577,0.1445090727452551,0.3800779030205918
gout_drug,current_use,BPQ020,0.008585525701731348,0.28115068927122344,0.35972888674736725
gout_drug,current_use,LBXSC3SI,0.02428088089831272,0.11691170440001798,0.3361085266949175
potassium_sparing,current_use,drug_count_x_age,0.07613692914343094,0.6397251050565177,1.415998890137538
potassium_sparing,current_use,drug_count,0.024079772976176674,1.5378048360778345,1.3162692959524789
potassium_sparing,current_use,RIDAGEYR,0.04802723957931607,0.5207906574218344,0.9694593353816994
potassium_sparing,current_use,acr,0.06450245095458651,0.16813528087798082,0.9565246809574273
potassium_sparing,current_use,drug_count_x_bmi,0.06347736118632896,0.16793280756722515,0.9429292514937893
potassium_sparing,current_use,egfr,0.04156731763827094,0.5801083618426538,0.9231862026384621
potassium_sparing,current_use,LBXSCR,0.051550301830236234,0.3030695577935081,0.8741528993732395
potassium_sparing,current_use,drug_count_x_egfr,0.062138476005212294,0.08692323831690375,0.8726653182428207
potassium_sparing,current_use,INDFMPIR,0.054086056012160065,0.24279264979133655,0.8682613584795176
potassium_sparing,current_use,BMXWAIST,0.05776750953888271,0.09999455902538593,0.8237560225774809
potassium_sparing,current_use,systolic_bp,0.037278829671492535,0.2719217944009997,0.6664533980888987
potassium_sparing,current_use,RIDRETH1,0.044528924430880135,0.07760404273343083,0.6353173396213262
potassium_sparing,current_use,LBXSUA,0.03593762062896102,0.12566004144066412,0.5537269109035647
potassium_sparing,current_use,LBXSC3SI,0.03555279575813911,0.1328975842345928,0.5533789440102083
potassium_sparing,current_use,BMXBMI,0.0366645711996364,0.10257563384217482,0.5482635748821317
potassium_sparing,current_use,diastolic_bp,0.03185504880679167,0.15601384454884112,0.5198438678060038
potassium_sparing,current_use,LBXSBU,0.03777903445958841,0.007518707669431146,0.5010878050982213
potassium_sparing,current_use,BPQ020,0.009824860127883271,0.5618846897259145,0.4944229941271492
potassium_sparing,current_use,LBXSCA,0.025973245804878916,0.17577869970485038,0.4554435517270752
potassium_sparing,current_use,LBXSPH,0.0314592982746166,0.06195906380355554,0.45348427421305876
opioid,current_use,drug_count_x_age,0.07760366125755466,0.5723134881596538,1.2005906286146355
opioid,current_use,drug_count,0.008904487720089265,2.154031166884693,1.1072729565148913
opioid,current_use,drug_count_x_bmi,0.08300775898586499,0.2057083226225893,1.0954992322233195
opioid,current_use,acr,0.08221818340612858,0.013843983427499389,0.9969149420738718
opioid,current_use,drug_count_x_egfr,0.07123767475570912,0.18852132281095674,0.9457252506340617
opioid,current_use,INDFMPIR,0.056734346854021525,0.16485222102812727,0.7600144116776797
opioid,current_use,BMXWAIST,0.05301819555708203,0.08989451589604465,0.6804468870552218
opioid,current_use,egfr,0.054472438265119646,0.026419451023944995,0.6684982112357549
opioid,current_use,RIDAGEYR,0.045810933032266576,0.23983822386141215,0.6632312575546662
opioid,current_use,BMXBMI,0.04123927697208658,0.23924829790409055,0.6078823419012376
opioid,current_use,LBXSCR,0.045634988399251605,0.05233495611451119,0.5740640295427779
opioid,current_use,LBXSPH,0.040479048927917094,0.13603285793383119,0.5508064858046985
opioid,current_use,LBXSCA,0.038211699992662315,0.015910110755095713,0.4677250970031218
opioid,current_use,RIDRETH1,0.03731072075315602,0.02004558792059274,0.45879081816272815
opioid,current_use,LBXSBU,0.033581426350953215,0.09212241800874639,0.4473251284110438
opioid,current_use,LBXSUA,0.03627154937218015,0.014793207087154023,0.4438334554061575
opioid,current_use,systolic_bp,0.030145641465070833,0.054411547328015716,0.3884268844132068
opioid,current_use,diastolic_bp,0.025512833348492574,0.030906931055318384,0.32170321630038495
opioid,current_use,LBXSC3SI,0.024124743983326466,0.024412412028271928,0.30196575786957036
opioid,current_use,smoking_status,0.009875839407933629,0.2796069686739051,0.24878126592494015
nsaid,current_use,drug_count_x_age,0.07627765625059296,0.9385847529746967,1.3803753790832831
nsaid,current_use,acr,0.081646138428983,0.3583145215027517,1.1703141800891195
nsaid,current_use,drug_count,0.010461832767979847,2.103844326498582,1.1281362838375963
nsaid,current_use,drug_count_x_egfr,0.07801781207106526,0.24398879332317397,1.0715331794896252
nsaid,current_use,drug_count_x_bmi,0.06421212453691635,0.2595555385779654,0.9098406310767271
nsaid,current_use,egfr,0.058408043060846376,0.1463415594096502,0.7849394694328515
nsaid,current_use,BMXBMI,0.05032454693874441,0.3261510719160974,0.7714001159563727
nsaid,current_use,BMXWAIST,0.05866342794255047,0.09516422199648414,0.7637417881045309
nsaid,current_use,RIDAGEYR,0.049039843316112774,0.3341121700669055,0.7594491678152746
nsaid,current_use,LBXSCR,0.04601926456009604,0.3528264427482515,0.7313484640812242
nsaid,current_use,INDFMPIR,0.048185074816687934,0.172428425960177,0.6721284109853497
nsaid,current_use,LBXSPH,0.04810967170721758,0.007411831696841224,0.5927691318129612
nsaid,current_use,LBXSBU,0.03796966947058603,0.17954337957192773,0.5503922466336312
nsaid,current_use,RIDRETH1,0.04141931089273433,0.07146876928124275,0.541273313868979
nsaid,current_use,LBXSUA,0.03685915499758803,0.01539127196204731,0.4587658557028984
nsaid,current_use,systolic_bp,0.029672559734961357,0.006951332156258759,0.3667329294170316
nsaid,current_use,LBXSCA,0.023603081436236018,0.01041498277236956,0.2940404443041211
nsaid,current_use,diastolic_bp,0.020182382701888768,0.08302510712610967,0.2866568749304735
nsaid,current_use,LBXSC3SI,0.022600994319602608,0.012421610984749512,0.2827206958656204
nsaid,current_use,sex_binary,0.01503301511936439,0.06638152474999001,0.21567650760155677
statin,current_use,drug_count_x_age,0.07551004666016176,0.6664155095788742,1.234940839315902
statin,current_use,drug_count,0.015705610833375277,2.1169991264363883,1.1913850130542962
statin,current_use,RIDAGEYR,0.055013620193948023,1.0986444843659113,1.1893466297345405
statin,current_use,acr,0.08206290859838422,0.0082281662862504,1.0038867121783377
statin,current_use,drug_count_x_egfr,0.06445935399127371,0.18660561681888818,0.8736333633982506
statin,current_use,drug_count_x_bmi,0.06113458666991243,0.21221575833528783,0.8452158819160343
statin,current_use,BMXWAIST,0.05504467404836027,0.09830991690179522,0.7172002550518902
statin,current_use,LBXSCR,0.05343493564851591,0.03744135447806473,0.6688320627568207
statin,current_use,egfr,0.0499574930860064,0.07429557660068031,0.6438654452264727
statin,current_use,INDFMPIR,0.04594693534060103,0.1723021587750144,0.6412887485939474
statin,current_use,RIDRETH1,0.04612514551634907,0.07302444278707251,0.5965648852099521
statin,current_use,LBXSUA,0.04108420587789864,0.08806051368803176,0.5422396775534625
statin,current_use,BPQ080,0.002589116287019245,1.0223676454552286,0.514482867490269
statin,current_use,BMXBMI,0.04047766620654368,0.04162728054039674,0.5129150071273259
statin,current_use,LBXSPH,0.03999182824691713,0.004739214309446062,0.48956999988415384
statin,current_use,LBXSBU,0.03638553870011407,0.004720182787657387,0.4456155831773182
statin,current_use,systolic_bp,0.031137185675375843,0.06493420860647647,0.41010344681537225
statin,current_use,LBXSCA,0.031439415431700146,0.016037189911704143,0.39068902423619906
statin,current_use,LBXSC3SI,0.02475910900138261,0.06435132339884443,0.3321063148244252
