drug_class,exposure_definition,variable,smd_before,smd_after_ipw
loop_diuretic,current_use,RIDAGEYR,1.3542,0.7333
loop_diuretic,current_use,sex_binary,0.0395,0.1553
loop_diuretic,current_use,RIDRETH1,0.0976,0.0581
loop_diuretic,current_use,BMXBMI,0.5687,0.4508
loop_diuretic,current_use,BMXWAIST,0.6416,0.5085
loop_diuretic,current_use,INDFMPIR,0.2584,0.0843
loop_diuretic,current_use,LBXSCA,0.1355,0.0125
loop_diuretic,current_use,LBXSUA,0.7546,0.2212
loop_diuretic,current_use,LBXSPH,0.0667,0.037
loop_diuretic,current_use,LBXSC3SI,0.2322,0.0253
loop_diuretic,current_use,LBXSBU,0.8277,0.2959
loop_diuretic,current_use,LBXSCR,0.5695,0.2263
loop_diuretic,current_use,egfr,1.1941,0.5339
loop_diuretic,current_use,acr,0.2457,0.1491
loop_diuretic,current_use,systolic_bp,0.3635,0.3243
loop_diuretic,current_use,diastolic_bp,0.4078,0.1049
loop_diuretic,current_use,smoking_status,0.0676,0.0394
loop_diuretic,current_use,diabetes_status,0.7033,0.3558
loop_diuretic,current_use,physically_active,0.6059,0.4379
loop_diuretic,current_use,MCQ160B,1.037,0.2366
loop_diuretic,current_use,MCQ160C,0.6373,0.2746
loop_diuretic,current_use,BPQ020,1.1114,0.7139
loop_diuretic,current_use,BPQ080,0.5486,0.3446
loop_diuretic,current_use,drug_count,2.0712,1.1319
loop_diuretic,current_use,drug_statin,0.9208,0.492
loop_diuretic,current_use,drug_ace_inhibitor,0.5562,0.403
loop_diuretic,current_use,drug_beta_blocker,1.235,0.5311
loop_diuretic,current_use,drug_thiazide,0.0294,0.2875
loop_diuretic,current_use,drug_ppi,0.5575,0.4764
loop_diuretic,current_use,drug_ccb,0.5864,0.405
loop_diuretic,current_use,drug_metformin,0.328,0.3156
loop_diuretic,current_use,drug_arb,0.5151,0.2464
loop_diuretic,current_use,drug_ssri,0.2928,0.1985
loop_diuretic,current_use,drug_opioid,0.3766,0.2889
loop_diuretic,current_use,drug_nsaid,0.1279,0.2647
loop_diuretic,current_use,drug_antiepileptic,0.4051,0.2781
loop_diuretic,current_use,drug_alpha_blocker,0.3539,0.2131
loop_diuretic,current_use,drug_gout_drug,0.4612,0.1308
loop_diuretic,current_use,drug_benzodiazepine,0.2185,0.2493
loop_diuretic,current_use,drug_sulfonylurea,0.4449,0.2034
loop_diuretic,current_use,drug_thyroid,0.3371,0.1678
loop_diuretic,current_use,drug_bisphosphonate,0.1356,0.0548
loop_diuretic,current_use,drug_potassium_sparing,0.3836,0.2166
loop_diuretic,current_use,drug_count_x_age,2.127,1.0375
loop_diuretic,current_use,drug_count_x_bmi,1.5177,0.9444
loop_diuretic,current_use,drug_count_x_egfr,1.1295,0.9484
loop_diuretic,current_use,drug_count_x_bmi_missing,0.2153,0.1688
loop_diuretic,current_use,drug_count_x_egfr_missing,0.145,0.0488
thiazide,current_use,RIDAGEYR,0.9803,0.7767
