drug_class,n_users,stone_rate_users,stone_rate_non_users,relative_risk,rr_ci_low,rr_ci_high
gout_drug,564,22.5,9.1,2.47,2.11,2.89
alpha_blocker,1059,21.1,9.0,2.35,2.08,2.65
beta_blocker,4439,15.7,8.4,1.86,1.73,2.02
loop_diuretic,1303,16.6,9.0,1.83,1.62,2.08
ppi,3265,15.3,8.7,1.75,1.6,1.91
metformin,2870,15.3,8.8,1.75,1.59,1.92
opioid,2237,15.6,8.9,1.75,1.58,1.94
statin,6695,14.1,8.2,1.73,1.61,1.86
sulfonylurea,1512,15.0,9.1,1.66,1.46,1.88
antiepileptic,1638,15.0,9.0,1.65,1.47,1.87
ace_inhibitor,4694,14.0,8.6,1.63,1.5,1.76
benzodiazepine,1348,14.5,9.1,1.6,1.4,1.82
ccb,3267,14.0,8.8,1.59,1.45,1.74
ssri,2316,14.2,9.0,1.59,1.43,1.77
arb,2724,13.9,8.9,1.55,1.41,1.72
potassium_sparing,720,13.6,9.2,1.47,1.22,1.78
thiazide,3479,12.7,8.9,1.42,1.29,1.56
nsaid,1874,12.2,9.2,1.33,1.18,1.51
thyroid,2234,12.0,9.1,1.31,1.16,1.47
bisphosphonate,522,10.7,9.3,1.15,0.9,1.48
