drug_class,n_treated,ate,ci_low,ci_high,p_value,p_value_fdr,significant_fdr,e_value,max_smd_before,max_smd_after_ipw,crude_rr,crude_stone_rate
gout_drug,564,0.0537,0.0431,0.0644,0.0,0.0,True,2.53,1.574,0.928,2.47,22.5
beta_blocker,4439,0.0517,0.0398,0.0636,0.0,0.0,True,2.48,1.553,0.4,1.86,15.7
opioid,2237,0.0348,0.0244,0.0453,0.0,0.0,True,2.09,1.205,0.353,1.75,15.6
potassium_sparing,720,0.0238,0.0153,0.0324,0.0,0.0,True,1.82,1.196,0.963,1.47,13.6
thiazide,3479,0.0122,0.0016,0.0228,0.024514,0.032685,True,1.52,1.737,0.777,1.42,12.7
metformin,2870,0.0101,0.0009,0.0194,0.031348,0.037618,True,1.46,2.459,0.758,1.75,15.3
ppi,3265,0.0088,-0.0013,0.019,0.088915,0.096998,False,1.42,1.401,0.29,1.75,15.3
antiepileptic,1638,-0.0065,-0.0166,0.0036,0.20586,0.20586,False,1.36,1.504,0.478,1.65,15.0
nsaid,1874,-0.0121,-0.0208,-0.0034,0.00659,0.011297,True,1.56,1.068,0.407,1.33,12.2
ace_inhibitor,4694,-0.0125,-0.0232,-0.0018,0.022324,0.032685,True,1.58,1.523,0.703,1.63,14.0
loop_diuretic,1303,-0.0165,-0.0255,-0.0076,0.000288,0.000691,True,1.73,2.127,1.132,1.83,16.6
statin,6695,-0.0178,-0.029,-0.0067,0.00169,0.00338,True,1.78,1.573,0.611,1.73,14.1
