feature,coefficient,abs_coef
drug_count,0.21903167654524427,0.21903167654524427
BMXWAIST,0.15518065065323852,0.15518065065323852
sex_binary,0.1373491049066998,0.1373491049066998
BPQ080_missing,-0.11599655544859723,0.11599655544859723
diabetes_status,0.1056671812307959,0.1056671812307959
LBXSBU,0.09213662146742765,0.09213662146742765
LBXSPH,-0.08680613554416267,0.08680613554416267
egfr,-0.06293175981017075,0.06293175981017075
LBXSCLSI,0.054593542363509336,0.054593542363509336
drug_opioid,0.05287632312188905,0.05287632312188905
SLD012,-0.051642857227842724,0.051642857227842724
drug_beta_blocker,0.05110062356931422,0.05110062356931422
LBXSUA,-0.050868067127396964,0.050868067127396964
drug_ssri,0.046922865481473744,0.046922865481473744
drug_alpha_blocker,0.04579495198647457,0.04579495198647457
drug_gout_drug,0.041518558918130076,0.041518558918130076
diastolic_bp,0.039488704268379714,0.039488704268379714
drug_loop_diuretic,-0.03874136213729648,0.03874136213729648
smoking_status,0.03826546694259483,0.03826546694259483
DIQ010_missing,-0.0379138966785001,0.0379138966785001
drug_sulfonylurea,-0.03505718319854706,0.03505718319854706
drug_ppi,0.03143338411437722,0.03143338411437722
LBXSNASI,0.029809507483739166,0.029809507483739166
LBXSKSI,-0.02708995706200032,0.02708995706200032
LBXSC3SI,-0.02673300122764802,0.02673300122764802
physically_active_missing,-0.02432434394836297,0.02432434394836297
drug_nsaid,-0.022998768790275976,0.022998768790275976
LBXSCH,0.021855726892708944,0.021855726892708944
BPQ020_missing,-0.02120477096562936,0.02120477096562936
diabetes_status_missing,0.021075435810521955,0.021075435810521955
drug_statin,-0.020964167418181363,0.020964167418181363
LBXSBU_missing,-0.020332780775545664,0.020332780775545664
URXUMA,-0.020170622649099416,0.020170622649099416
INDFMPIR_missing,-0.020122658006290112,0.020122658006290112
drug_metformin,0.02006126993248914,0.02006126993248914
systolic_bp,0.01609278041130727,0.01609278041130727
LBXSGL,0.014537015769550897,0.014537015769550897
MCQ160C_missing,0.013826770314327797,0.013826770314327797
drug_potassium_sparing,-0.013653666175612087,0.013653666175612087
LBXSC3SI_missing,-0.01273316829367305,0.01273316829367305
diastolic_bp_missing,-0.01271718392253877,0.01271718392253877
systolic_bp_missing,-0.01271718392253877,0.01271718392253877
drug_thiazide,-0.010678909337264569,0.010678909337264569
polypharmacy,-0.00989990477126965,0.00989990477126965
obesity_category_missing,-0.009592209381694763,0.009592209381694763
BMXBMI_missing,-0.009592209381694763,0.009592209381694763
MCQ160E_missing,0.008957227390695228,0.008957227390695228
physically_active,0.0087708935835597,0.0087708935835597
URXUCR_missing,0.006953623554370571,0.006953623554370571
URXUMA_missing,0.006953623554370571,0.006953623554370571
acr_missing,0.006953623554370571,0.006953623554370571
URXUCR,-0.0063853563051230015,0.0063853563051230015
drug_ace_inhibitor,0.005788221950275155,0.005788221950275155
drug_ccb,-0.005026150552811496,0.005026150552811496
INDFMPIR,-0.005012348504769625,0.005012348504769625
drug_arb,-0.0036687975140814004,0.0036687975140814004
drug_antiepileptic,-0.0031352522609070094,0.0031352522609070094
smoking_status_missing,-0.0026536979223463035,0.0026536979223463035
MCQ160F_missing,0.002325277469869694,0.002325277469869694
MCQ220_missing,0.002230822505364045,0.002230822505364045
drug_thyroid,-0.0018833557531909527,0.0018833557531909527
drug_benzodiazepine,0.0008694062072153594,0.0008694062072153594
LBXSCLSI_missing,0.0,0.0
LBXSCA_missing,0.0,0.0
LBXSCR,0.0,0.0
acr,0.0,0.0
BMXBMI,0.0,0.0
MCQ160B_missing,0.0,0.0
LBXSUA_missing,0.0,0.0
LBXSGL_missing,0.0,0.0
LBXSPH_missing,0.0,0.0
egfr_missing,0.0,0.0
LBXSCR_missing,0.0,0.0
BMXWAIST_missing,0.0,0.0
LBXSNASI_missing,0.0,0.0
drug_bisphosphonate,0.0,0.0
LBXSKSI_missing,0.0,0.0
LBXSCH_missing,0.0,0.0
LBXSCA,0.0,0.0
