drug_class,ate,significant_fdr,ate_rank,mean_abs_shap,shap_rank
gout_drug,0.0879,True,1.0,0.0020004753,9
beta_blocker,0.0461,True,2.0,0.0069779567,4
opioid,0.0373,True,3.0,0.009015528,3
thiazide,0.024,True,4.0,0.00060595083,17
ppi,0.0219,True,5.0,0.009475963,2
potassium_sparing,0.0191,True,6.0,0.00066594273,15
antiepileptic,0.0132,True,7.0,0.0018797695,10
metformin,0.0114,True,8.0,0.00064134115,16
ace_inhibitor,0.0074,False,9.0,0.0016514327,12
nsaid,-0.0104,True,10.0,0.0050099236,6
statin,-0.0131,False,11.0,0.0020171828,8
loop_diuretic,-0.0273,True,12.0,0.00037438172,18
alpha_blocker,,,,0.01624439,1
arb,,,,0.0017500129,11
benzodiazepine,,,,0.00018262057,19
bisphosphonate,,,,0.0,20
ccb,,,,0.0037850535,7
ssri,,,,0.0054166024,5
sulfonylurea,,,,0.0010462744,14
thyroid,,,,0.0011966454,13
